appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
1845,2,0.0,0.321016628,0.0,0.15787037,0.0,0.037037037,1,7,EP,2005,A,0.25,0.0,4,0.0,1845,0.0,2,0.0,2,,A61K;A61P,2,0.40579033829646605
2170,2,0.0,0.347366714,0.0,0.023874454,0.0,0.000294,1,15,EP,2006,A,0.349206349,0.0,4,0.0,2170,0.0,1,0.0,1,弱链接,A61K;A61P,2,0.40579033829646605
2355,0,10.83333333,0.835031961,379.5,0.288888889,0.0,0.133333333,2,26,EP,2006,A,0.0,0.029317269,2,0.00086,2355,0.1212121212121212,0,0.0721966205837173,0,强链接,C12P;C12N;A61K;C07K;A61P,5,0.5227169761817981
4457,1,8.0,0.957966519,71.0,0.552063492,0.053474026,0.058823529,5,9,EP,1986,A,0.0,0.0,4,0.0,4457,0.0,1,0.0,1,弱链接,A61K;C12R;C12Q;C12N,4,0.5585275331384763
4632,2,13.0,0.908087397,142.5,0.146584897,0.0,0.028985507,2,8,EP,1986,A,0.0,0.0,2,0.0,4632,0.0,2,0.0,2,,A61K;C07K;G01N,3,0.6379945444514895
4849,2,12.0,0.887494884,305.0,0.222008547,0.0,0.05,1,22,EP,1995,A,0.0,0.0,4,0.0,4849,0.0606060606060606,0,0.2008733624454148,0,强链接,G01N;C12P;C12N;A61K;C07K;A61P;C12Q,7,0.548146138089051
5174,0,79.5,0.861599995,4479.5,0.10544596,0.0,0.007462687,3,10,EP,2002,A,0.411764706,0.018879056,4,0.000356,5174,0.0131578947368421,0,0.0184438040345821,0,强链接,A61K;C07K;G01N,3,0.6379945444514895
5600,2,0.0,0.99937621,0.0,0.0,0.0,0.0,0,7,EP,2000,A,0.0,0.0,2,0.0,5600,0.0082169268693508,0,0.0370229732295424,0,强链接,D06M;A61K;C08J;B29C;B29K;G02B,6,0.7309247502506433
5670,2,0.0,0.893206887,0.0,0.028372585,0.0,0.006622517,1,72,EP,1999,A,0.846153846,0.0,2,0.0,5670,0.0,2,0.0,2,,C12R;G01N;C12P;C12N;A61K;C07K;A61P;C12Q,8,0.5745356844882591
7409,2,0.0,0.289407626,0.0,0.0,0.0,0.0,0,10,EP,2003,A,0.538461538,0.0,1,0.0,7409,0.1428571428571428,0,0.3535353535353535,0,强链接,A61K;A61P,2,0.40579033829646605
17579,0,36.5,0.372933011,292.5,0.0,0.0,0.0,0,10,FR,2008,A,0.0,0.204678363,4,0.041893232,17579,0.0108695652173913,0,0.2023121387283237,0,强链接,A61K;A61P,2,0.40579033829646605
17590,0,45.5,0.605105621,3859.5,0.0,0.0,0.0,0,6,FR,2008,A,0.0,0.219763138,1,0.048295837,17590,0.0238726790450928,0,0.2060374739764052,0,强链接,C07D;A61K;A61P,3,0.5585213767579899
18520,2,5.166666667,0.763012266,152.5,0.046374857,0.0,0.002754821,1,12,EP,2003,A,0.272727273,0.0,2,0.0,18520,0.0,2,0.0,2,,A61K;C07K,2,0.5653148564634705
